,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,ra,dec,koi_kepmag
0,CONFIRMED,0,0,0,0,9.48803557,170.53875,0.00216,-0.00216,0.146,2.9575,0.0819,-0.0819,615.8,2.26,793.0,93.59,35.8,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.927,291.93423,48.141651,15.347
1,CONFIRMED,0,0,0,0,54.4183827,162.51384,0.00352,-0.00352,0.586,4.507,0.116,-0.116,874.8,2.83,443.0,9.11,25.8,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.927,291.93423,48.141651,15.347
2,FALSE POSITIVE,0,1,0,0,19.89913995,175.850252,0.000581,-0.000581,0.969,1.7822,0.0341,-0.0341,10829.0,14.6,638.0,39.3,76.3,5853.0,158.0,-176.0,4.544,0.044,-0.176,0.868,297.00482,48.134129,15.436
3,FALSE POSITIVE,0,1,0,0,1.736952453,170.307565,0.000115,-0.000115,1.276,2.40641,0.00537,-0.00537,8079.2,33.46,1395.0,891.96,505.6,5805.0,157.0,-174.0,4.564,0.053,-0.168,0.791,285.53461,48.28521,15.597
4,CONFIRMED,0,0,0,0,2.525591777,171.59555,0.00113,-0.00113,0.701,1.6545,0.042,-0.042,603.3,2.75,1406.0,926.16,40.9,6031.0,169.0,-211.0,4.438,0.07,-0.21,1.046,288.75488,48.2262,15.509
5,CONFIRMED,0,0,0,0,11.09432054,171.20116,0.00141,-0.00141,0.538,4.5945,0.061,-0.061,1517.5,3.9,835.0,114.81,66.5,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,296.28613,48.22467,15.714
6,CONFIRMED,0,0,0,0,4.13443512,172.97937,0.0019,-0.0019,0.762,3.1402,0.0673,-0.0673,686.0,2.77,1160.0,427.65,40.2,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,296.28613,48.22467,15.714
7,CONFIRMED,0,0,0,0,2.56658897,179.55437,0.00461,-0.00461,0.755,2.429,0.165,-0.165,226.5,1.59,1360.0,807.74,15.0,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,296.28613,48.22467,15.714
8,FALSE POSITIVE,0,1,1,0,7.36178958,132.25053,0.00253,-0.00253,1.169,5.022,0.136,-0.136,233.7,39.21,1342.0,767.22,47.7,6227.0,111.0,-124.0,3.986,0.182,-0.098,1.958,298.86435,42.151569,12.66
9,CONFIRMED,0,0,0,0,16.06864674,173.621937,0.000517,-0.000517,0.052,3.5347,0.0241,-0.0241,4914.3,5.76,600.0,30.75,161.9,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.848,286.99948,48.37579,15.841
10,CONFIRMED,0,0,0,0,2.470613377,122.763305,8.7e-06,-8.7e-06,0.818,1.74319,0.00107,-0.00107,14231.0,13.04,1339.0,761.46,4304.3,5820.0,78.0,-78.0,4.457,0.024,-0.024,0.964,286.80847,49.316399,11.338
11,CONFIRMED,0,1,0,0,2.204735417,121.3585417,1.6e-05,-1.6e-05,0.224,3.88864,0.00203,-0.00203,6674.7,16.1,2048.0,4148.92,5945.9,6440.0,76.0,-89.0,4.019,0.033,-0.027,1.952,292.24728,47.969521,10.463
12,CONFIRMED,0,0,0,0,3.522498429,121.1194228,4.71e-05,-4.71e-05,0.631,3.19843,0.00653,-0.00653,9145.7,14.59,1521.0,1264.67,1741.5,6225.0,112.0,-137.0,4.169,0.055,-0.045,1.451,281.28812,42.45108,13.563
13,CONFIRMED,0,0,0,0,3.709214104,133.98318,0.00143,-0.00143,0.051,2.6302,0.0427,-0.0427,131.1,1.16,1206.0,500.46,50.6,5833.0,105.0,-117.0,4.407,0.085,-0.114,1.022,295.64871,48.49556,12.772
14,FALSE POSITIVE,0,1,0,0,11.521446064,170.839688,0.000131,-0.000131,2.483,3.6399,0.0114,-0.0114,17984.0,150.51,753.0,75.88,622.1,5795.0,155.0,-172.0,4.554,0.033,-0.176,0.848,297.07993,47.597401,15.472
